Agency,AI Use Case,Agency Use (Y/N)?,Name of Commercial Product or Service Used,Estimated # of Licenses/Users
Department of State,Managing and prioritizing internal service or help desk tickets using AI.,Y,ServiceNow,101-1000
Department of State,Curating news articles and updates based on user preferences using AI.,Y,"ChatGPT, Claude, Gemini, NotebookLM, Perplexity",1001-5000
Department of State,Planning travel routes using AI-driven map applications.,N,,
Department of State,Finding and booking travel accommodations using AI-powered platforms.,N,,
Department of State,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Y,Apple iPhone,"50,000+"
Department of the Interior,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Department of the Interior,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Department of the Interior,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Evidence.com,1-100
Department of the Interior,Prioritizing and categorizing incoming emails using AI.,N,,
Department of the Interior,"Editing images, videos, or other public affairs materials using AI.",Y,Microsoft Copilot,1-100
Department of the Interior,Scheduling and managing social media posts using AI.,Y,Hootsuite,101-1000
Department of the Interior,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,Microsoft Copilot,1-100
Department of the Interior,Improving the quality of written communications using AI tools.,Y,Synthesia; Microsoft Copilot & Copilot Chat,"50,000+"
Department of the Interior,Summarizing the key points of a lengthy report using AI.,Y,Microsoft Copilot,101-1000
Department of the Interior,Creating visual representations of data sets for reports or presentations using AI.,N,,
Department of the Interior,Using AI-assisted tools in word processors.,N,,
Department of the Interior,Generating code using AI.,Y,GitHub Copilot for Visual Studio; Schoology; Claude Code; Splunk AI Assistant for SPL (Splunk Search Processing Language),101-1000
Department of the Interior,Searching for agency information using a knowledge retrieval system.,N,,
Department of the Interior,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Department of the Interior,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N,,
Department of the Interior,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Department of the Interior,Curating news articles and updates based on user preferences using AI.,N,,
Department of the Interior,Planning travel routes using AI-driven map applications.,N,,
Department of the Interior,Finding and booking travel accommodations using AI-powered platforms.,N,,
Department of the Interior,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N,,
Department of Labor,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Y,"Calendly, Reclaim.AI",
Department of Labor,Logging and analyzing time spent on tasks using AI-powered time management tools.,Y,"Timely, Asana",
Department of Labor,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",N,,
Department of Labor,Prioritizing and categorizing incoming emails using AI.,N,,
Department of Labor,"Editing images, videos, or other public affairs materials using AI.",N,,
Department of Labor,Scheduling and managing social media posts using AI.,Y,"ContentStudio, Sprout Social",
Department of Labor,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,"ChatGPT, Gemini, Claude",
Department of Labor,Improving the quality of written communications using AI tools.,N,,
Department of Labor,Summarizing the key points of a lengthy report using AI.,Y,"ChatGPT, Perplexity",
